,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1,n mean,n mean|f=0,n mean|f=1,std mean,std mean|f=0,std mean|f=1,IG median,IG,IG geomean,IG majority_mean
"age_(16.927, 41.333]",0.5376592856418045,0.5875505136928257,0.3202444233429845,0.6999999999999998,0.6333333333333334,0.3,0.5882352941176471,0.6058823529411764,0.3411764705882353,0.6,0.6,0.3,17.0,17.0,17.0,0.19647631199834395,0.14777765492156675,0.1325651892910228,0.053795817134385526,0.013443354579310118,0.007901612234648026,0.08581067183252977
"age_(41.333, 65.667]",0.4970293408807277,0.3532264485035362,0.4799917824146586,0.39999999999999997,0.4333333333333333,0.5,0.5250000000000001,0.3849999999999999,0.5149999999999998,0.5,0.3,0.5,20.0,20.0,20.0,0.18317377426626164,0.15652475842498526,0.19269556026896006,0.03030514483932223,-0.02491275899459966,-0.02134079360621355,-0.005144890251125522
"capital.loss_(2904, 4356]",0.26250794117456266,0.446514685737934,0.5351562566011091,0.19999999999999998,0.5333333333333333,0.5666666666666667,0.3208333333333333,0.5041666666666665,0.6125000000000002,0.3,0.55,0.7,24.0,24.0,24.0,0.20847096902815085,0.23121449982113196,0.26753707585402386,0.011621206893994929,-0.03169139738567517,-0.04660818551316592,-0.007723086087560338
"education.num_(11, 16]",0.5060692396051282,0.22048303474334655,0.4883655947321825,0.5666666666666667,0.23333333333333336,0.5,0.575,0.29583333333333334,0.5375000000000001,0.6,0.2,0.55,24.0,24.0,24.0,0.26085144864629284,0.23861769799640056,0.20390215044604543,0.08651468410703855,0.011434139119228748,0.06457897796860468,0.08083443046214911
"education.num_(6, 11]",0.3036570335596239,0.3289447207453283,0.34328817414671053,0.26666666666666666,0.3666666666666667,0.26666666666666666,0.38947368421052625,0.3947368421052631,0.42105263157894735,0.4,0.4,0.4,19.0,19.0,19.0,0.25362863675089403,0.21466688460270075,0.2507299285606395,0.0,-0.01684301581046832,0.02823395047786259,0.06877619788567768
education_Assoc-acdm,0.4364494543886885,0.3427039965262529,0.5707277056455108,0.4333333333333333,0.39999999999999997,0.6333333333333333,0.4666666666666666,0.35000000000000003,0.6,0.4,0.3,0.55,6.0,6.0,6.0,0.19663841605003504,0.08366600265340758,0.20976176963403032,0.04506627332112956,0.005177497853485535,-0.006399847988873386,0.026098531957181814
education_Assoc-voc,0.3495283683457236,0.23645819703229518,0.43286159405987173,0.3,0.26666666666666666,0.36666666666666664,0.38499999999999995,0.27999999999999997,0.4699999999999999,0.3,0.3,0.55,20.0,20.0,20.0,0.1663066286617647,0.15078740698501036,0.17501879598308412,0.05621462879684125,0.0463555447061994,0.08809965461886426,0.11706578193519768
"hours.per.week_(0.902, 33.667]",0.32316994570404,0.4267694701203164,0.22445783541435999,0.3,0.39999999999999997,0.23333333333333336,0.35,0.459090909090909,0.2681818181818182,0.3,0.5,0.2,22.0,22.0,22.0,0.1336306209562122,0.16806770435379084,0.1615000033506225,0.05437216598845995,0.016004431663715568,0.031769489663662775,0.07233927400850804
income==>50K,0.3645007290346473,,,0.4333333333333333,,,0.37777777777777777,,,0.4,,,18.0,,,0.10602749674192764,,,,,,
marital.status_Married-civ-spouse,0.6232939885089531,0.3226152766899759,0.4286679067020448,0.7333333333333334,0.3,0.5,0.6555555555555554,0.3722222222222222,0.47777777777777786,0.6499999999999999,0.3,0.5,18.0,18.0,18.0,0.1947010445067672,0.19942728456774755,0.192676368573149,0.012498779723926212,-0.0261999328462289,-0.00950465008160195,0.018793534577334903
marital.status_Never-married,0.3338504314897117,0.5240580970058383,0.35303830955242177,0.39999999999999997,0.4666666666666666,0.39999999999999997,0.37222222222222223,0.5611111111111111,0.3944444444444445,0.4,0.55,0.4,18.0,18.0,18.0,0.14874200148759575,0.20619490747659372,0.1589384720843155,-0.013094315719883953,-0.02470385316767143,-0.03141597269811214,0.0006825574013369362
native.country_Hungary,0.1118496045973822,0.3143087273068823,0.25872895398977075,0.20000000000000004,0.39999999999999997,0.26666666666666666,0.11875000000000002,0.36250000000000004,0.33125000000000004,0.1,0.4,0.2,16.0,16.0,16.0,0.05439056290693573,0.16683325008322927,0.23300572239038822,0.024902249956730627,0.015107752391819163,0.056465504145412404,0.04304915042021795
native.country_Ireland,0.13176337663795443,0.4156023358386956,0.3547516290776963,0.20000000000000004,0.5,0.3666666666666667,0.15000000000000005,0.45,0.41363636363636364,0.1,0.5,0.4,22.0,22.0,22.0,0.09128709291752769,0.15039630187955957,0.21667499151506142,-0.026144464990798255,-0.034156455250202944,-0.02757631599625443,-0.002477874346594744
native.country_Scotland,0.14304953415972688,0.4250301111894796,0.39385598758907525,0.20000000000000004,0.5,0.5666666666666667,0.17368421052631583,0.45789473684210524,0.44736842105263147,0.1,0.5,0.4,19.0,19.0,19.0,0.13267380744248863,0.14649910683718712,0.1896441728097696,-0.026144464990798255,-0.03791987861598256,-0.035008327951888574,-0.010289780502250934
occupation_Armed-Forces,0.14584357334479162,0.3938936176941009,0.3352365246581361,0.20000000000000004,0.39999999999999997,0.3,0.1772727272727273,0.4090909090909091,0.36818181818181817,0.1,0.4,0.3,22.0,22.0,22.0,0.1445248971196516,0.11509454047327027,0.16442211540614612,0.008965969522397588,-0.014820339838693464,-0.014044321085360467,0.0341191189623129
relationship_Husband,0.46055627627652745,0.3776606300170668,0.4927208669283567,0.43333333333333335,0.39999999999999997,0.6,0.48,0.4050000000000001,0.5199999999999999,0.45,0.4,0.5,20.0,20.0,20.0,0.13992479182911458,0.13562719801759993,0.1542383664469075,-0.013072232495399128,-0.029364644586314492,-0.030039463744037986,0.016187179917517724
relationship_Own-child,0.5803437170929079,0.4254996384032429,0.4828025368523545,0.6666666666666666,0.39999999999999997,0.4333333333333333,0.611111111111111,0.45000000000000007,0.5055555555555555,0.6499999999999999,0.4,0.55,18.0,18.0,18.0,0.17111705277859943,0.15434872662825797,0.15135553089341047,-0.014185508696540783,-0.040678236868146644,-0.04640303349136299,0.005395726639172649
sex==Male,0.5916739210496745,0.3593482218215245,0.5492308862546097,0.6,0.26666666666666666,0.5333333333333333,0.5999999999999998,0.4,0.5681818181818182,0.6,0.4,0.55,22.0,22.0,22.0,0.1023532631438318,0.1718249385968449,0.14924050144892728,-0.013094315719883953,-0.023849610985946734,-0.025874324678504035,0.0544064984067375
