,answer,answerUser,feature
0,0.9,A39OBMGPC1917V,"exports_[1163000, 10071333333.333]_0"
1,0.6,A2LL81ERU0Y7E6,"exports_[1163000, 10071333333.333]_0"
2,0.9,AMA18W8F60Y2J,"exports_[1163000, 10071333333.333]_0"
3,0.6,ANMXMEB55AGM6,"exports_[1163000, 10071333333.333]_0"
4,0.5,A2NAKIXS3DVGAA,"exports_[1163000, 10071333333.333]_0"
5,0.7,AL36KBFL3ORCD,"exports_[1163000, 10071333333.333]_0"
6,0.9,A1KH1O9AZ7S642,"exports_[1163000, 10071333333.333]_0"
7,0.7,A34GXB9CLD01FZ,"exports_[1163000, 10071333333.333]_0"
8,0.1,AQ07VGUPLAGEU,"exports_[1163000, 10071333333.333]_0"
9,0.8,A2WC2NO555XU3J,"exports_[1163000, 10071333333.333]_0"
16,0.8,AVCXJ9M71WDCB,"exports_[1163000, 10071333333.333]_0"
18,0.7,A1SWTHM03SN731,"exports_[1163000, 10071333333.333]_0"
19,0.4,A8GWYS9O8FUEK,"exports_[1163000, 10071333333.333]_0"
21,0.8,A1JR1MJO1PQUYG,"exports_[1163000, 10071333333.333]_0"
22,0.5,ATIUQQLY0LCNA,"exports_[1163000, 10071333333.333]_0"
23,0.9,A360G7Q6RO5XRL,"exports_[1163000, 10071333333.333]_0"
24,0.5,A39Q6EA421OBQE,"exports_[1163000, 10071333333.333]_0"
25,0.8,AZACNY1H74YWS,"exports_[1163000, 10071333333.333]_0"
26,0.8,AMCJ2CQOZ6BD2,"exports_[1163000, 10071333333.333]_0"
27,0.6,A14MLOVO4YH17Z,"exports_[1163000, 10071333333.333]_0"
28,0.4,A1RHQEWFCONEP8,"exports_[1163000, 10071333333.333]_0"
29,0.5,A3O9Q7AV4TDE4G,"exports_[1163000, 10071333333.333]_0"
33,0.4,A2HGAQ9WOEU9PN,"exports_[1163000, 10071333333.333]_0"
35,0.7,A1POQWMOWKNQCN,"exports_[1163000, 10071333333.333]_0"
37,0.5,A369K7I5SXBPNC,"exports_[1163000, 10071333333.333]_0"
38,0.8,A2VBSFSJXLZZ7A,"exports_[1163000, 10071333333.333]_0"
39,0.5,A3DT085TCZLLMH,"exports_[1163000, 10071333333.333]_0"
40,0.7,A3959BXDXZLWX2,"exports_[1163000, 10071333333.333]_0"
41,0.3,A163J5TEJBO43B,"exports_[1163000, 10071333333.333]_0"
42,0.9,AP0A2XBW34SZJ,"exports_[1163000, 10071333333.333]_0"
43,0.6,A3L2UB07EZJAMD,"exports_[1163000, 10071333333.333]_0"
44,0.2,A2D4VR2C6O7Z1Z,"exports_[1163000, 10071333333.333]_0"
47,0.9,A1SLJKNSNHOJRN,"exports_[1163000, 10071333333.333]_0"
48,0.8,A3TUV36R7RR04T,"exports_[1163000, 10071333333.333]_0"
49,0.8,A1P1UEH9PMSHXG,"exports_[1163000, 10071333333.333]_0"
50,0.8,ADEMAGRRRGSPT,"exports_[1163000, 10071333333.333]_0"
51,0.2,A39OBMGPC1917V,"exports_[1163000, 10071333333.333]_1"
52,0.3,A2LL81ERU0Y7E6,"exports_[1163000, 10071333333.333]_1"
53,0.5,AMA18W8F60Y2J,"exports_[1163000, 10071333333.333]_1"
54,0.4,ANMXMEB55AGM6,"exports_[1163000, 10071333333.333]_1"
55,0.3,A2NAKIXS3DVGAA,"exports_[1163000, 10071333333.333]_1"
56,0.4,AL36KBFL3ORCD,"exports_[1163000, 10071333333.333]_1"
57,0.4,A1KH1O9AZ7S642,"exports_[1163000, 10071333333.333]_1"
58,0.3,A34GXB9CLD01FZ,"exports_[1163000, 10071333333.333]_1"
59,0.5,AQ07VGUPLAGEU,"exports_[1163000, 10071333333.333]_1"
60,0.3,A2WC2NO555XU3J,"exports_[1163000, 10071333333.333]_1"
67,0.2,AVCXJ9M71WDCB,"exports_[1163000, 10071333333.333]_1"
69,0.3,A1SWTHM03SN731,"exports_[1163000, 10071333333.333]_1"
70,0.5,A8GWYS9O8FUEK,"exports_[1163000, 10071333333.333]_1"
72,0.2,A1JR1MJO1PQUYG,"exports_[1163000, 10071333333.333]_1"
73,0.1,ATIUQQLY0LCNA,"exports_[1163000, 10071333333.333]_1"
74,0.3,A360G7Q6RO5XRL,"exports_[1163000, 10071333333.333]_1"
75,0.4,A39Q6EA421OBQE,"exports_[1163000, 10071333333.333]_1"
76,0.7,AZACNY1H74YWS,"exports_[1163000, 10071333333.333]_1"
77,0.5,AMCJ2CQOZ6BD2,"exports_[1163000, 10071333333.333]_1"
78,0.3,A14MLOVO4YH17Z,"exports_[1163000, 10071333333.333]_1"
79,0.4,A1RHQEWFCONEP8,"exports_[1163000, 10071333333.333]_1"
80,0.6,A3O9Q7AV4TDE4G,"exports_[1163000, 10071333333.333]_1"
84,0.2,A2HGAQ9WOEU9PN,"exports_[1163000, 10071333333.333]_1"
86,0.1,A1POQWMOWKNQCN,"exports_[1163000, 10071333333.333]_1"
88,0.2,A369K7I5SXBPNC,"exports_[1163000, 10071333333.333]_1"
89,0.1,A2VBSFSJXLZZ7A,"exports_[1163000, 10071333333.333]_1"
90,0.1,A3DT085TCZLLMH,"exports_[1163000, 10071333333.333]_1"
91,0.3,A3959BXDXZLWX2,"exports_[1163000, 10071333333.333]_1"
92,0.1,A163J5TEJBO43B,"exports_[1163000, 10071333333.333]_1"
93,0.3,AP0A2XBW34SZJ,"exports_[1163000, 10071333333.333]_1"
94,0.2,A3L2UB07EZJAMD,"exports_[1163000, 10071333333.333]_1"
95,0.2,A2D4VR2C6O7Z1Z,"exports_[1163000, 10071333333.333]_1"
98,0.3,A1SLJKNSNHOJRN,"exports_[1163000, 10071333333.333]_1"
99,0.2,A3TUV36R7RR04T,"exports_[1163000, 10071333333.333]_1"
100,0.1,A1P1UEH9PMSHXG,"exports_[1163000, 10071333333.333]_1"
101,0.2,ADEMAGRRRGSPT,"exports_[1163000, 10071333333.333]_1"
102,0.7,A39OBMGPC1917V,"exports_[1163000, 10071333333.333]"
103,0.4,A2LL81ERU0Y7E6,"exports_[1163000, 10071333333.333]"
104,0.7,AMA18W8F60Y2J,"exports_[1163000, 10071333333.333]"
105,0.8,ANMXMEB55AGM6,"exports_[1163000, 10071333333.333]"
106,0.5,A2NAKIXS3DVGAA,"exports_[1163000, 10071333333.333]"
107,0.6,AL36KBFL3ORCD,"exports_[1163000, 10071333333.333]"
108,0.3,A1KH1O9AZ7S642,"exports_[1163000, 10071333333.333]"
109,0.1,A34GXB9CLD01FZ,"exports_[1163000, 10071333333.333]"
110,0.2,AQ07VGUPLAGEU,"exports_[1163000, 10071333333.333]"
111,0.7,A2WC2NO555XU3J,"exports_[1163000, 10071333333.333]"
118,0.4,AVCXJ9M71WDCB,"exports_[1163000, 10071333333.333]"
120,0.3,A1SWTHM03SN731,"exports_[1163000, 10071333333.333]"
121,0.7,A8GWYS9O8FUEK,"exports_[1163000, 10071333333.333]"
123,0.2,A1JR1MJO1PQUYG,"exports_[1163000, 10071333333.333]"
124,0.6,ATIUQQLY0LCNA,"exports_[1163000, 10071333333.333]"
125,0.8,A360G7Q6RO5XRL,"exports_[1163000, 10071333333.333]"
126,0.6,A39Q6EA421OBQE,"exports_[1163000, 10071333333.333]"
127,0.9,AZACNY1H74YWS,"exports_[1163000, 10071333333.333]"
128,0.6,AMCJ2CQOZ6BD2,"exports_[1163000, 10071333333.333]"
129,0.8,A14MLOVO4YH17Z,"exports_[1163000, 10071333333.333]"
130,0.2,A1RHQEWFCONEP8,"exports_[1163000, 10071333333.333]"
131,0.4,A3O9Q7AV4TDE4G,"exports_[1163000, 10071333333.333]"
135,0.7,A2HGAQ9WOEU9PN,"exports_[1163000, 10071333333.333]"
137,0.6,A1POQWMOWKNQCN,"exports_[1163000, 10071333333.333]"
139,0.6,A369K7I5SXBPNC,"exports_[1163000, 10071333333.333]"
140,0.2,A2VBSFSJXLZZ7A,"exports_[1163000, 10071333333.333]"
141,0.1,A3DT085TCZLLMH,"exports_[1163000, 10071333333.333]"
142,0.4,A3959BXDXZLWX2,"exports_[1163000, 10071333333.333]"
143,0.4,A163J5TEJBO43B,"exports_[1163000, 10071333333.333]"
144,0.2,AP0A2XBW34SZJ,"exports_[1163000, 10071333333.333]"
145,0.5,A3L2UB07EZJAMD,"exports_[1163000, 10071333333.333]"
146,0.3,A2D4VR2C6O7Z1Z,"exports_[1163000, 10071333333.333]"
149,0.4,A1SLJKNSNHOJRN,"exports_[1163000, 10071333333.333]"
150,0.4,A3TUV36R7RR04T,"exports_[1163000, 10071333333.333]"
151,0.1,A1P1UEH9PMSHXG,"exports_[1163000, 10071333333.333]"
152,0.6,ADEMAGRRRGSPT,"exports_[1163000, 10071333333.333]"
153,0.2,A12FQA7MZPXMB2,"unemployment rate_[0.3, 6.433]_0"
154,0.7,A1XHFQKX09Y1RD,"unemployment rate_[0.3, 6.433]_0"
155,0.4,A3F8G26PENQ6EO,"unemployment rate_[0.3, 6.433]_0"
156,0.5,A3O9Q7AV4TDE4G,"unemployment rate_[0.3, 6.433]_0"
157,0.1,A2954N7SOFA1WN,"unemployment rate_[0.3, 6.433]_0"
158,0.4,A2JCK494NV7TFX,"unemployment rate_[0.3, 6.433]_0"
159,0.2,A34A7QEBMYTALW,"unemployment rate_[0.3, 6.433]_0"
160,0.3,ANMXMEB55AGM6,"unemployment rate_[0.3, 6.433]_0"
161,0.3,A248ARSA6FS20S,"unemployment rate_[0.3, 6.433]_0"
162,0.6,A2K1ESUAWL5M9,"unemployment rate_[0.3, 6.433]_0"
163,0.6,A20CZCJPRP54G9,"unemployment rate_[0.3, 6.433]_0"
164,0.6,ATB9VOR75W6P3,"unemployment rate_[0.3, 6.433]_0"
165,0.2,AX0KHOWMMM6Z2,"unemployment rate_[0.3, 6.433]_0"
171,0.3,AY7WPVKHVNBLG,"unemployment rate_[0.3, 6.433]_0"
173,0.1,AVDF9O70MW7X8,"unemployment rate_[0.3, 6.433]_0"
174,0.6,A2PJBSDDN22XIX,"unemployment rate_[0.3, 6.433]_0"
175,0.2,A2FI2VTA8JVYS6,"unemployment rate_[0.3, 6.433]_0"
176,0.4,A1HKYY6XI2OHO1,"unemployment rate_[0.3, 6.433]_0"
178,0.3,A2FUMA4UR6S920,"unemployment rate_[0.3, 6.433]_0"
179,0.5,A15FXOOCN5RT0,"unemployment rate_[0.3, 6.433]_0"
180,0.4,A9WGDBDXUNLOD,"unemployment rate_[0.3, 6.433]_0"
181,0.2,A1NMKXK04PZ6KK,"unemployment rate_[0.3, 6.433]_0"
182,0.2,A369K7I5SXBPNC,"unemployment rate_[0.3, 6.433]_0"
183,0.3,A3U21PUMQ6NGT2,"unemployment rate_[0.3, 6.433]_0"
184,0.2,A2BZY06YRWGEDL,"unemployment rate_[0.3, 6.433]_0"
187,0.7,A2HG1N3BVQO6I,"unemployment rate_[0.3, 6.433]_0"
188,0.4,A1LDZINXOZSW48,"unemployment rate_[0.3, 6.433]_0"
189,0.2,A3HOZA7QXYKN5Y,"unemployment rate_[0.3, 6.433]_0"
190,0.8,A2M3LVBUZLN8MO,"unemployment rate_[0.3, 6.433]_0"
191,0.1,A1BSA7FVVJGZ15,"unemployment rate_[0.3, 6.433]_0"
192,0.5,A2JCHN90PRUWDH,"unemployment rate_[0.3, 6.433]_0"
193,0.3,A3IUPHJSD8CP75,"unemployment rate_[0.3, 6.433]_0"
195,0.4,ANL13K5ZPFVJS,"unemployment rate_[0.3, 6.433]_0"
196,0.3,A15XX0WDRG29E7,"unemployment rate_[0.3, 6.433]_0"
197,0.8,A17J1CE7N49Z9D,"unemployment rate_[0.3, 6.433]_0"
198,0.1,A4NRNY8PZV1JW,"unemployment rate_[0.3, 6.433]_0"
199,0.3,A1GF29TP5AVQ49,"unemployment rate_[0.3, 6.433]_0"
200,0.2,A2531UD0IGT731,"unemployment rate_[0.3, 6.433]_0"
201,0.2,A2KXARDIOGJL8T,"unemployment rate_[0.3, 6.433]_0"
202,0.8,A26XN1TM6CV01T,"unemployment rate_[0.3, 6.433]_0"
203,0.4,A12FQA7MZPXMB2,"unemployment rate_[0.3, 6.433]_1"
204,0.5,A1XHFQKX09Y1RD,"unemployment rate_[0.3, 6.433]_1"
205,0.3,A3F8G26PENQ6EO,"unemployment rate_[0.3, 6.433]_1"
206,0.6,A3O9Q7AV4TDE4G,"unemployment rate_[0.3, 6.433]_1"
207,0.9,A2954N7SOFA1WN,"unemployment rate_[0.3, 6.433]_1"
208,0.9,A2JCK494NV7TFX,"unemployment rate_[0.3, 6.433]_1"
209,0.5,A34A7QEBMYTALW,"unemployment rate_[0.3, 6.433]_1"
210,0.7,ANMXMEB55AGM6,"unemployment rate_[0.3, 6.433]_1"
211,0.5,A248ARSA6FS20S,"unemployment rate_[0.3, 6.433]_1"
212,0.1,A2K1ESUAWL5M9,"unemployment rate_[0.3, 6.433]_1"
213,0.4,A20CZCJPRP54G9,"unemployment rate_[0.3, 6.433]_1"
214,0.6,ATB9VOR75W6P3,"unemployment rate_[0.3, 6.433]_1"
215,0.8,AX0KHOWMMM6Z2,"unemployment rate_[0.3, 6.433]_1"
221,0.9,AY7WPVKHVNBLG,"unemployment rate_[0.3, 6.433]_1"
223,0.6,AVDF9O70MW7X8,"unemployment rate_[0.3, 6.433]_1"
224,0.5,A2PJBSDDN22XIX,"unemployment rate_[0.3, 6.433]_1"
225,0.7,A2FI2VTA8JVYS6,"unemployment rate_[0.3, 6.433]_1"
226,0.9,A1HKYY6XI2OHO1,"unemployment rate_[0.3, 6.433]_1"
228,0.2,A2FUMA4UR6S920,"unemployment rate_[0.3, 6.433]_1"
229,0.5,A15FXOOCN5RT0,"unemployment rate_[0.3, 6.433]_1"
230,0.3,A9WGDBDXUNLOD,"unemployment rate_[0.3, 6.433]_1"
231,0.7,A1NMKXK04PZ6KK,"unemployment rate_[0.3, 6.433]_1"
232,0.4,A369K7I5SXBPNC,"unemployment rate_[0.3, 6.433]_1"
233,0.4,A3U21PUMQ6NGT2,"unemployment rate_[0.3, 6.433]_1"
234,0.2,A2BZY06YRWGEDL,"unemployment rate_[0.3, 6.433]_1"
237,0.5,A2HG1N3BVQO6I,"unemployment rate_[0.3, 6.433]_1"
238,0.6,A1LDZINXOZSW48,"unemployment rate_[0.3, 6.433]_1"
239,0.3,A3HOZA7QXYKN5Y,"unemployment rate_[0.3, 6.433]_1"
240,0.3,A2M3LVBUZLN8MO,"unemployment rate_[0.3, 6.433]_1"
241,0.1,A1BSA7FVVJGZ15,"unemployment rate_[0.3, 6.433]_1"
242,0.5,A2JCHN90PRUWDH,"unemployment rate_[0.3, 6.433]_1"
243,0.1,A3IUPHJSD8CP75,"unemployment rate_[0.3, 6.433]_1"
245,0.5,ANL13K5ZPFVJS,"unemployment rate_[0.3, 6.433]_1"
246,0.7,A15XX0WDRG29E7,"unemployment rate_[0.3, 6.433]_1"
247,0.3,A17J1CE7N49Z9D,"unemployment rate_[0.3, 6.433]_1"
248,0.3,A4NRNY8PZV1JW,"unemployment rate_[0.3, 6.433]_1"
249,0.8,A1GF29TP5AVQ49,"unemployment rate_[0.3, 6.433]_1"
250,0.8,A2531UD0IGT731,"unemployment rate_[0.3, 6.433]_1"
251,0.6,A2KXARDIOGJL8T,"unemployment rate_[0.3, 6.433]_1"
252,0.9,A26XN1TM6CV01T,"unemployment rate_[0.3, 6.433]_1"
253,0.2,A12FQA7MZPXMB2,"unemployment rate_[0.3, 6.433]"
254,0.3,A1XHFQKX09Y1RD,"unemployment rate_[0.3, 6.433]"
255,0.4,A3F8G26PENQ6EO,"unemployment rate_[0.3, 6.433]"
256,0.4,A3O9Q7AV4TDE4G,"unemployment rate_[0.3, 6.433]"
257,0.3,A2954N7SOFA1WN,"unemployment rate_[0.3, 6.433]"
258,0.3,A2JCK494NV7TFX,"unemployment rate_[0.3, 6.433]"
259,0.6,A34A7QEBMYTALW,"unemployment rate_[0.3, 6.433]"
260,0.5,ANMXMEB55AGM6,"unemployment rate_[0.3, 6.433]"
261,0.3,A248ARSA6FS20S,"unemployment rate_[0.3, 6.433]"
262,0.8,A2K1ESUAWL5M9,"unemployment rate_[0.3, 6.433]"
263,0.3,A20CZCJPRP54G9,"unemployment rate_[0.3, 6.433]"
264,0.3,ATB9VOR75W6P3,"unemployment rate_[0.3, 6.433]"
265,0.3,AX0KHOWMMM6Z2,"unemployment rate_[0.3, 6.433]"
271,0.2,AY7WPVKHVNBLG,"unemployment rate_[0.3, 6.433]"
273,0.2,AVDF9O70MW7X8,"unemployment rate_[0.3, 6.433]"
274,0.4,A2PJBSDDN22XIX,"unemployment rate_[0.3, 6.433]"
275,0.4,A2FI2VTA8JVYS6,"unemployment rate_[0.3, 6.433]"
276,0.6,A1HKYY6XI2OHO1,"unemployment rate_[0.3, 6.433]"
278,0.2,A2FUMA4UR6S920,"unemployment rate_[0.3, 6.433]"
279,0.2,A15FXOOCN5RT0,"unemployment rate_[0.3, 6.433]"
280,0.4,A9WGDBDXUNLOD,"unemployment rate_[0.3, 6.433]"
281,0.6,A1NMKXK04PZ6KK,"unemployment rate_[0.3, 6.433]"
282,0.4,A369K7I5SXBPNC,"unemployment rate_[0.3, 6.433]"
283,0.3,A3U21PUMQ6NGT2,"unemployment rate_[0.3, 6.433]"
284,0.1,A2BZY06YRWGEDL,"unemployment rate_[0.3, 6.433]"
287,0.6,A2HG1N3BVQO6I,"unemployment rate_[0.3, 6.433]"
288,0.1,A1LDZINXOZSW48,"unemployment rate_[0.3, 6.433]"
289,0.4,A3HOZA7QXYKN5Y,"unemployment rate_[0.3, 6.433]"
290,0.4,A2M3LVBUZLN8MO,"unemployment rate_[0.3, 6.433]"
291,0.3,A1BSA7FVVJGZ15,"unemployment rate_[0.3, 6.433]"
292,0.5,A2JCHN90PRUWDH,"unemployment rate_[0.3, 6.433]"
293,0.3,A3IUPHJSD8CP75,"unemployment rate_[0.3, 6.433]"
295,0.1,ANL13K5ZPFVJS,"unemployment rate_[0.3, 6.433]"
296,0.1,A15XX0WDRG29E7,"unemployment rate_[0.3, 6.433]"
297,0.6,A17J1CE7N49Z9D,"unemployment rate_[0.3, 6.433]"
298,0.5,A4NRNY8PZV1JW,"unemployment rate_[0.3, 6.433]"
299,0.7,A1GF29TP5AVQ49,"unemployment rate_[0.3, 6.433]"
300,0.6,A2531UD0IGT731,"unemployment rate_[0.3, 6.433]"
301,0.3,A2KXARDIOGJL8T,"unemployment rate_[0.3, 6.433]"
302,0.4,A26XN1TM6CV01T,"unemployment rate_[0.3, 6.433]"
306,0.3,AUVC78LEL0T6L,region_3_0
307,0.9,AW0225ONUAPO5,region_3_0
308,0.6,A1NITMHYG5YL3H,region_3_0
309,0.2,ANMXMEB55AGM6,region_3_0
310,0.3,AB774I47XHB4K,region_3_0
311,0.7,A3SOJWB6AZWZV9,region_3_0
312,0.3,A2S8ZTPKX3B928,region_3_0
314,0.9,A3HNEYFOIJWPH1,region_3_0
315,0.4,A3F23C3ABMM0W0,region_3_0
316,0.5,ACVXBOS4CZGVQ,region_3_0
321,0.7,A3O3RIY1ELZ6YR,region_3_0
323,0.6,A3CPBEVHGIPGW3,region_3_0
325,0.6,ANGB67ECCF73,region_3_0
326,0.3,AX0KHOWMMM6Z2,region_3_0
327,0.3,A3GLMBZSG3VU4P,region_3_0
328,0.9,A3HPTQGQWN36VX,region_3_0
330,0.1,A2PAP6WAU1OLNH,region_3_0
333,0.2,A17R9PYLUB516A,region_3_0
334,0.6,ATIUQQLY0LCNA,region_3_0
335,0.6,A1FY68OAZIB6OJ,region_3_0
336,0.5,A1Z2PN56VHHKNM,region_3_0
337,0.6,A2R794P3E8X0MK,region_3_0
341,0.1,A2FCCX7X5TVB9C,region_3_0
343,0.6,A2WJGI7XNUBRND,region_3_0
345,0.8,AIBFR88A00FP3,region_3_0
347,0.4,A2LSZPIH5XPAS,region_3_0
348,0.5,A8GWYS9O8FUEK,region_3_0
349,0.7,AU849EHZNGV2Z,region_3_0
350,0.4,A1GDQ2QVPW8DBR,region_3_0
351,0.6,A2OVMADBMBNWFK,region_3_0
352,0.1,AS5P5QIEGUD5X,region_3_0
353,0.1,A3MKZ4HSQKNNOO,region_3_0
354,0.1,A2W46GI83TICBR,region_3_0
355,0.7,A3HHDPKL3O3O7Y,region_3_0
356,0.6,A1EAEZ7VIHKQ2,region_3_0
358,0.5,AIC05ZT6F4AGF,region_3_0
359,0.8,A3EIVR2LS7CCWB,region_3_0
360,0.7,A292IMAU5EW3MN,region_3_0
364,0.3,AUVC78LEL0T6L,region_3_1
365,0.5,AW0225ONUAPO5,region_3_1
366,0.4,A1NITMHYG5YL3H,region_3_1
367,0.8,ANMXMEB55AGM6,region_3_1
368,0.6,AB774I47XHB4K,region_3_1
369,0.6,A3SOJWB6AZWZV9,region_3_1
370,0.6,A2S8ZTPKX3B928,region_3_1
372,0.9,A3HNEYFOIJWPH1,region_3_1
373,0.9,A3F23C3ABMM0W0,region_3_1
374,0.1,ACVXBOS4CZGVQ,region_3_1
379,0.3,A3O3RIY1ELZ6YR,region_3_1
381,0.4,A3CPBEVHGIPGW3,region_3_1
383,0.4,ANGB67ECCF73,region_3_1
384,0.6,AX0KHOWMMM6Z2,region_3_1
385,0.5,A3GLMBZSG3VU4P,region_3_1
386,0.3,A3HPTQGQWN36VX,region_3_1
388,0.3,A2PAP6WAU1OLNH,region_3_1
391,0.4,A17R9PYLUB516A,region_3_1
392,0.8,ATIUQQLY0LCNA,region_3_1
393,0.1,A1FY68OAZIB6OJ,region_3_1
394,0.1,A1Z2PN56VHHKNM,region_3_1
395,0.1,A2R794P3E8X0MK,region_3_1
399,0.3,A2FCCX7X5TVB9C,region_3_1
401,0.3,A2WJGI7XNUBRND,region_3_1
403,0.2,AIBFR88A00FP3,region_3_1
405,0.2,A2LSZPIH5XPAS,region_3_1
406,0.6,A8GWYS9O8FUEK,region_3_1
407,0.5,AU849EHZNGV2Z,region_3_1
408,0.2,A1GDQ2QVPW8DBR,region_3_1
409,0.4,A2OVMADBMBNWFK,region_3_1
410,0.1,AS5P5QIEGUD5X,region_3_1
411,0.9,A3MKZ4HSQKNNOO,region_3_1
412,0.1,A2W46GI83TICBR,region_3_1
413,0.5,A3HHDPKL3O3O7Y,region_3_1
414,0.4,A1EAEZ7VIHKQ2,region_3_1
416,0.3,AIC05ZT6F4AGF,region_3_1
417,0.3,A3EIVR2LS7CCWB,region_3_1
418,0.6,A292IMAU5EW3MN,region_3_1
422,0.5,AUVC78LEL0T6L,region_3
423,0.7,AW0225ONUAPO5,region_3
424,0.4,A1NITMHYG5YL3H,region_3
425,0.6,ANMXMEB55AGM6,region_3
426,0.4,AB774I47XHB4K,region_3
427,0.4,A3SOJWB6AZWZV9,region_3
428,0.5,A2S8ZTPKX3B928,region_3
430,0.2,A3HNEYFOIJWPH1,region_3
431,0.2,A3F23C3ABMM0W0,region_3
432,0.1,ACVXBOS4CZGVQ,region_3
437,0.2,A3O3RIY1ELZ6YR,region_3
439,0.8,A3CPBEVHGIPGW3,region_3
441,0.3,ANGB67ECCF73,region_3
442,0.2,AX0KHOWMMM6Z2,region_3
443,0.1,A3GLMBZSG3VU4P,region_3
444,0.5,A3HPTQGQWN36VX,region_3
446,0.1,A2PAP6WAU1OLNH,region_3
449,0.3,A17R9PYLUB516A,region_3
450,0.3,ATIUQQLY0LCNA,region_3
451,0.2,A1FY68OAZIB6OJ,region_3
452,0.1,A1Z2PN56VHHKNM,region_3
453,0.1,A2R794P3E8X0MK,region_3
457,0.6,A2FCCX7X5TVB9C,region_3
459,0.2,A2WJGI7XNUBRND,region_3
461,0.2,AIBFR88A00FP3,region_3
463,0.4,A2LSZPIH5XPAS,region_3
464,0.2,A8GWYS9O8FUEK,region_3
465,0.3,AU849EHZNGV2Z,region_3
466,0.2,A1GDQ2QVPW8DBR,region_3
467,0.3,A2OVMADBMBNWFK,region_3
468,0.3,AS5P5QIEGUD5X,region_3
469,0.4,A3MKZ4HSQKNNOO,region_3
470,0.3,A2W46GI83TICBR,region_3
471,0.3,A3HHDPKL3O3O7Y,region_3
472,0.3,A1EAEZ7VIHKQ2,region_3
474,0.7,AIC05ZT6F4AGF,region_3
475,0.2,A3EIVR2LS7CCWB,region_3
476,0.4,A292IMAU5EW3MN,region_3
477,0.1,A1ZIFC5AFQCDZT,"electricity consumption_[90210000, 7952000000]_0"
478,0.5,A364KJDYEBAWC9,"electricity consumption_[90210000, 7952000000]_0"
479,0.5,ANMXMEB55AGM6,"electricity consumption_[90210000, 7952000000]_0"
480,0.8,ATB9VOR75W6P3,"electricity consumption_[90210000, 7952000000]_0"
